Date,Close,High,Low,Open,Volume
2024-07-26,38.110347747802734,38.27862539286755,37.6649013695586,38.17963898707523,1543600
2024-07-29,37.90247344970703,38.32812178505825,37.41743100613613,38.18953930863493,2335000
2024-07-30,38.02125549316406,38.258828134976746,37.78368285135139,37.82327892100167,2856200
2024-07-31,39.51597213745117,39.57536624326105,38.83295691303859,38.86265207789897,3201100
2024-08-01,38.14994430541992,39.882232861427376,37.714395051783704,39.357594331010056,3533400
2024-08-02,36.368160247802734,37.645101432856784,35.774230514762365,37.58571110281515,6234800
2024-08-05,36.09099197387695,36.368160696484274,34.7348586305843,35.20010302745903,4913300
2024-08-06,36.64532470703125,36.97198284621444,35.53666117318632,35.893014476998225,5213100
2024-08-07,38.30832290649414,39.377390398312215,38.090548290567284,38.288524870856314,7220900
2024-08-08,39.387290954589844,39.476380226124725,38.486501109554524,38.54589143985167,4139900
2024-08-09,39.26850509643555,39.595167037013816,38.842860524789884,39.595167037013816,4024800
2024-08-12,40.11980056762695,40.36727035405661,39.45658335251833,39.565470662721665,4888800
2024-08-13,40.535552978515625,40.58504618205635,39.892130004218004,39.94162320775873,3553600
2024-08-14,40.72362518310547,40.88200568655789,40.43655934057012,40.55534755022623,2905700
2024-08-15,41.17897033691406,41.386847824240505,40.98099753159625,41.00079179125666,3124100
2024-08-16,40.92160415649414,41.258163218080846,40.69393240543391,40.773120773759985,2265200
2024-08-19,40.941402435302734,41.49573234513923,40.85231316035197,40.90180636286033,4042800
2024-08-20,39.91192626953125,40.980997543793855,39.82283699667603,40.8523121994276,4961600
2024-08-21,39.83273696899414,40.3969677584896,39.76344195742937,40.268282417139496,4680400
2024-08-22,39.941619873046875,40.218788586695126,39.803037404267286,39.921825614154706,4375000
2024-08-23,40.42666244506836,40.545446879322746,40.07030536621612,40.40686441001112,3483700
2024-08-26,41.27796173095703,41.525431520979446,40.97109783193708,41.089882273842825,4639700
2024-08-27,40.406864166259766,41.14927348402704,40.28807973272194,41.079982249789225,2752900
2024-08-28,40.19899368286133,40.49595667853255,39.84263657762012,40.03071226045771,3677500
2024-08-29,40.55534744262695,40.911704518471694,40.268281600853236,40.4167649744849,1953100
2024-08-30,40.12969970703125,40.39696751773984,39.72384942619727,40.258381271525344,2311700
2024-09-03,39.31800079345703,39.44668236334507,38.52609445767911,39.40709006742758,16275000
2024-09-04,38.83000183105469,39.529998779296875,38.81999969482422,39.380001068115234,5982300
2024-09-05,38.0,39.40999984741211,37.959999084472656,39.189998626708984,4589500
2024-09-06,37.31999969482422,38.529998779296875,37.13999938964844,38.130001068115234,3978500
2024-09-09,37.400001525878906,37.84000015258789,37.279998779296875,37.380001068115234,5270600
2024-09-10,36.08000183105469,37.459999084472656,35.84000015258789,37.41999816894531,3602000
2024-09-11,36.060001373291016,36.619998931884766,35.540000915527344,36.310001373291016,3566900
2024-09-12,36.290000915527344,36.43000030517578,35.91999816894531,36.099998474121094,3705600
2024-09-13,36.439998626708984,36.9900016784668,36.40999984741211,36.58000183105469,4291000
2024-09-16,36.720001220703125,36.900001525878906,36.130001068115234,36.77000045776367,3182600
2024-09-17,37.25,37.2599983215332,36.709999084472656,36.83000183105469,2641200
2024-09-18,36.970001220703125,37.61000061035156,36.84000015258789,37.15999984741211,2381300
2024-09-19,37.720001220703125,37.959999084472656,37.40999984741211,37.66999816894531,5492000
2024-09-20,37.209999084472656,37.70000076293945,36.7400016784668,37.63999938964844,5042400
2024-09-23,37.86000061035156,38.209999084472656,37.380001068115234,37.5,7381800
2024-09-24,38.18000030517578,38.7599983215332,38.18000030517578,38.52000045776367,3222300
2024-09-25,37.41999816894531,38.279998779296875,37.20000076293945,38.08000183105469,3188900
2024-09-26,36.5099983215332,37.189998626708984,36.38999938964844,36.619998931884766,6598500
2024-09-27,36.79999923706055,36.959999084472656,36.47999954223633,36.599998474121094,3034100
2024-09-30,36.91999816894531,37.15999984741211,36.63999938964844,36.75,3366900
2024-10-01,38.5,38.59000015258789,36.61000061035156,36.65999984741211,4630600
2024-10-02,38.66999816894531,39.25,38.22999954223633,39.18000030517578,2283200
2024-10-03,39.5099983215332,39.560001373291016,38.400001525878906,38.72999954223633,2743600
2024-10-04,39.970001220703125,39.97999954223633,39.189998626708984,39.66999816894531,4133100
2024-10-07,40.470001220703125,40.68000030517578,39.9900016784668,40.04999923706055,2880000
2024-10-08,39.279998779296875,39.709999084472656,38.88999938964844,39.619998931884766,2655900
2024-10-09,39.5099983215332,39.619998931884766,38.790000915527344,38.86000061035156,2544200
2024-10-10,40.459999084472656,40.58000183105469,39.66999816894531,39.84000015258789,3229500
2024-10-11,40.38999938964844,40.459999084472656,40.099998474121094,40.43000030517578,2483000
2024-10-14,40.040000915527344,40.36000061035156,39.939998626708984,40.0,1516000
2024-10-15,38.279998779296875,38.93000030517578,38.16999816894531,38.70000076293945,3338000
2024-10-16,38.650001525878906,38.75,38.279998779296875,38.369998931884766,2508800
2024-10-17,38.97999954223633,38.9900016784668,38.4900016784668,38.56999969482422,2088800
2024-10-18,39.099998474121094,39.220001220703125,38.52000045776367,38.72999954223633,2377000
2024-10-21,38.97999954223633,39.56999969482422,38.720001220703125,39.33000183105469,2185200
2024-10-22,39.15999984741211,39.349998474121094,38.72999954223633,39.09000015258789,3254400
2024-10-23,38.599998474121094,39.0099983215332,38.27000045776367,38.97999954223633,1824300
2024-10-24,38.5099983215332,38.849998474121094,38.060001373291016,38.72999954223633,2450800
2024-10-25,38.959999084472656,39.13999938964844,38.599998474121094,38.79999923706055,1690200
2024-10-28,38.470001220703125,38.5099983215332,37.65999984741211,37.880001068115234,2847100
2024-10-29,38.06999969482422,38.400001525878906,37.75,38.400001525878906,3045000
2024-10-30,38.09000015258789,38.459999084472656,37.88999938964844,38.310001373291016,2539500
2024-10-31,37.77000045776367,38.29999923706055,37.33000183105469,38.2599983215332,3602100
2024-11-01,37.59000015258789,38.59000015258789,37.400001525878906,38.25,2994800
2024-11-04,38.16999816894531,38.40999984741211,37.9900016784668,38.08000183105469,1840300
2024-11-05,38.439998626708984,38.81999969482422,38.150001525878906,38.31999969482422,2174100
2024-11-06,39.209999084472656,39.310001373291016,38.150001525878906,38.22999954223633,3089300
2024-11-07,39.599998474121094,39.84000015258789,39.029998779296875,39.470001220703125,2343000
2024-11-08,39.15999984741211,39.33000183105469,38.84000015258789,39.2599983215332,2316600
2024-11-11,38.83000183105469,39.459999084472656,38.709999084472656,39.099998474121094,4362900
2024-11-12,38.11000061035156,38.9900016784668,37.900001525878906,38.66999816894531,7317500
2024-11-13,39.599998474121094,39.97999954223633,38.720001220703125,39.790000915527344,9487700
2024-11-14,40.439998626708984,40.779998779296875,39.88999938964844,40.040000915527344,8426300
2024-11-15,40.47999954223633,40.81999969482422,40.15999984741211,40.380001068115234,4974000
2024-11-18,40.810001373291016,41.0099983215332,40.459999084472656,40.869998931884766,3850400
2024-11-19,40.97999954223633,40.97999954223633,40.27000045776367,40.36000061035156,3158300
2024-11-20,40.83000183105469,41.119998931884766,40.540000915527344,41.0,2995600
2024-11-21,41.130001068115234,41.36000061035156,40.849998474121094,41.119998931884766,4195100
2024-11-22,41.529998779296875,41.540000915527344,40.91999816894531,41.22999954223633,5385300
2024-11-25,40.65999984741211,41.75,40.29999923706055,41.540000915527344,6298300
2024-11-26,39.540000915527344,40.47999954223633,39.22999954223633,40.459999084472656,7032600
2024-11-27,39.54999923706055,39.91999816894531,39.2599983215332,39.45000076293945,3771600
2024-11-29,39.47999954223633,39.880001068115234,39.47999954223633,39.56999969482422,1821300
2024-12-02,39.22999954223633,39.77000045776367,38.84000015258789,39.650001525878906,11969400
2024-12-03,38.959999084472656,39.2400016784668,38.65999984741211,39.2400016784668,6500700
2024-12-04,38.470001220703125,39.09000015258789,38.189998626708984,38.93000030517578,4335700
2024-12-05,39.150001525878906,39.43000030517578,38.58000183105469,38.68000030517578,3600400
2024-12-06,38.380001068115234,39.099998474121094,38.18000030517578,39.02000045776367,4432400
2024-12-09,38.189998626708984,39.2400016784668,38.18000030517578,38.81999969482422,6055600
2024-12-10,37.84000015258789,38.41999816894531,37.81999969482422,38.400001525878906,3785600
2024-12-11,38.150001525878906,38.16999816894531,37.79999923706055,37.959999084472656,3856300
2024-12-12,37.189998626708984,38.0,37.150001525878906,38.0,4436100
2024-12-13,36.779998779296875,37.27000045776367,36.529998779296875,37.16999816894531,5165700
2024-12-16,36.22999954223633,36.38999938964844,35.849998474121094,36.29999923706055,6721700
2024-12-17,35.84000015258789,36.060001373291016,35.54999923706055,35.79999923706055,4011900
2024-12-18,34.849998474121094,35.9900016784668,34.7599983215332,35.869998931884766,3982900
2024-12-19,34.61000061035156,35.36000061035156,34.4900016784668,35.25,4119600
2024-12-20,34.5,34.970001220703125,34.27000045776367,34.45000076293945,3725100
2024-12-23,35.029998779296875,35.15999984741211,34.16999816894531,34.349998474121094,3932800
2024-12-24,35.18000030517578,35.34000015258789,34.810001373291016,35.2400016784668,1239400
2024-12-26,35.15999984741211,35.380001068115234,34.970001220703125,35.18000030517578,2702400
2024-12-27,35.2599983215332,35.63999938964844,35.029998779296875,35.099998474121094,3771500
2024-12-30,35.290000915527344,35.56999969482422,35.0099983215332,35.22999954223633,3354400
2024-12-31,35.68000030517578,35.7599983215332,35.20000076293945,35.34000015258789,2317000
2025-01-02,36.040000915527344,36.349998474121094,35.790000915527344,36.0,2337500
2025-01-03,36.43000030517578,36.45000076293945,35.95000076293945,36.27000045776367,2714700
2025-01-06,36.959999084472656,37.459999084472656,36.790000915527344,36.79999923706055,3419700
2025-01-07,38.33000183105469,38.560001373291016,37.40999984741211,37.40999984741211,5383000
2025-01-08,38.33000183105469,38.43000030517578,37.939998626708984,38.09000015258789,4508400
2025-01-10,39.380001068115234,39.54999923706055,38.77000045776367,38.79999923706055,5907700
2025-01-13,39.38999938964844,40.63999938964844,39.2400016784668,39.560001373291016,6798400
2025-01-14,39.77000045776367,39.869998931884766,39.040000915527344,39.290000915527344,5428600
2025-01-15,40.11000061035156,40.27000045776367,39.84000015258789,40.0,4162700
2025-01-16,39.06999969482422,40.0099983215332,38.880001068115234,39.880001068115234,6958600
2025-01-17,39.029998779296875,39.22999954223633,38.65999984741211,38.779998779296875,4446100
2025-01-21,39.79999923706055,39.939998626708984,38.88999938964844,39.15999984741211,3851500
2025-01-22,39.22999954223633,40.15999984741211,39.189998626708984,39.79999923706055,3657600
2025-01-23,39.40999984741211,39.75,39.09000015258789,39.439998626708984,2818900
2025-01-24,38.95000076293945,39.529998779296875,38.90999984741211,39.38999938964844,3015400
2025-01-27,38.77000045776367,38.9900016784668,38.11000061035156,38.7599983215332,3283200
2025-01-28,38.2599983215332,38.88999938964844,37.95000076293945,38.880001068115234,2856300
2025-01-29,38.599998474121094,38.689998626708984,37.959999084472656,37.97999954223633,3354000
2025-01-30,38.63999938964844,39.029998779296875,38.209999084472656,38.880001068115234,4299000
2025-01-31,37.560001373291016,38.7400016784668,37.25,38.63999938964844,5335800
2025-02-03,37.560001373291016,38.060001373291016,36.0099983215332,36.18000030517578,4678600
2025-02-04,38.150001525878906,38.619998931884766,37.439998626708984,37.529998779296875,8708500
2025-02-05,38.689998626708984,38.880001068115234,38.0099983215332,38.06999969482422,4251700
2025-02-06,38.439998626708984,39.529998779296875,38.09000015258789,38.880001068115234,4532600
2025-02-07,38.75,39.13999938964844,38.119998931884766,38.79999923706055,6712000
2025-02-10,39.529998779296875,39.65999984741211,39.02000045776367,39.09000015258789,6417800
2025-02-11,40.630001068115234,40.7400016784668,39.72999954223633,39.900001525878906,8313000
2025-02-12,39.63999938964844,40.68000030517578,39.400001525878906,40.38999938964844,3509500
2025-02-13,39.95000076293945,40.119998931884766,39.459999084472656,39.47999954223633,3236200
2025-02-14,39.560001373291016,40.38999938964844,39.41999816894531,40.29999923706055,3955300
2025-02-18,39.84000015258789,40.130001068115234,39.25,39.650001525878906,6304600
2025-02-19,39.88999938964844,40.099998474121094,39.63999938964844,39.95000076293945,2298300
2025-02-20,40.16999816894531,40.33000183105469,39.70000076293945,39.779998779296875,3052600
2025-02-21,39.4900016784668,39.970001220703125,39.22999954223633,39.91999816894531,2906600
2025-02-24,39.130001068115234,39.84000015258789,39.04999923706055,39.83000183105469,3944100
2025-02-25,38.630001068115234,39.45000076293945,38.11000061035156,39.22999954223633,4530900
