40,AEG,0.60%,9.77%,17.01%,8.01%,14.82%,14.43%,1.53%,1.97%,2.06,6.33M,1.40,6.74,0.90%,"8,874,045"
41,AEM,-0.35%,8.16%,36.31%,26.85%,87.00%,34.83%,1.75%,2.79%,1.47,2.26M,0.91,105.45,1.22%,"2,071,814"
42,AEO,1.07%,-11.94%,-25.18%,-39.88%,-52.70%,-26.57%,4.90%,5.11%,2.77,5.24M,1.65,12.24,-3.77%,"8,640,711"
43,AEP,-3.29%,-3.57%,12.34%,0.34%,23.35%,11.14%,1.37%,1.96%,2.52,3.36M,3.61,102.50,-1.61%,"12,124,548"
44,AER,-0.10%,1.34%,10.59%,6.10%,19.41%,7.57%,1.61%,2.80%,1.33,1.36M,0.66,102.94,-0.67%,"900,041"
45,AES,-2.01%,18.10%,1.77%,-33.02%,-19.67%,-1.63%,2.75%,4.46%,1.94,15.44M,0.74,12.66,-1.71%,"11,415,347"
46,AESI,2.37%,-10.00%,-13.08%,-18.18%,-17.20%,-16.41%,2.65%,4.40%,2.33,1.61M,0.59,18.54,0.00%,"957,839"
47,AEVA,93.66%,35.86%,34.11%,62.70%,19.04%,9.26%,16.67%,9.30%,1.50,538.07K,3.48,5.19,9.49%,"1,874,988"
48,AFL,2.21%,5.42%,8.38%,1.68%,29.06%,6.08%,1.73%,1.95%,3.06,1.92M,0.87,109.73,0.07%,"1,675,601"
49,AFRM,16.54%,-23.43%,-19.16%,13.35%,35.78%,-16.37%,6.54%,8.13%,1.88,7.28M,1.07,50.93,-3.06%,"7,763,775"
50,AG,-4.70%,21.52%,26.42%,11.31%,26.89%,25.50%,4.08%,5.56%,2.33,18.93M,0.95,6.89,-1.01%,"17,917,874"
51,AGCO,0.08%,-1.56%,4.93%,0.28%,-17.67%,1.64%,2.14%,3.76%,2.53,826.70K,0.89,95.01,0.12%,"732,297"
52,AGI,1.39%,13.08%,44.67%,25.84%,92.36%,42.08%,2.86%,3.33%,1.18,2.80M,1.01,26.20,2.06%,"2,842,389"
53,AGL,3.70%,23.08%,138.30%,27.27%,-17.50%,135.79%,6.48%,9.63%,2.86,5.61M,0.66,4.48,0.00%,"3,681,453"
54,AGNC,-4.43%,-5.34%,7.12%,-5.34%,1.02%,7.82%,1.71%,1.90%,1.80,21.26M,1.41,9.93,-1.97%,"30,045,209"
55,AHCO,4.15%,20.35%,6.19%,-8.53%,-7.13%,8.09%,3.78%,5.38%,1.78,1.50M,0.78,10.29,-0.96%,"1,168,711"
56,AHH,1.17%,-13.02%,-23.58%,-33.34%,-24.45%,-24.24%,3.03%,3.12%,2.25,882.48K,1.25,7.75,-1.90%,"1,105,275"
57,AHR,3.10%,9.23%,11.39%,18.03%,113.75%,6.65%,2.74%,3.47%,1.29,1.59M,2.15,30.31,-0.46%,"3,424,362"
58,AI,6.19%,-12.57%,-33.71%,1.08%,-17.20%,-31.75%,3.84%,5.64%,3.18,4.88M,0.54,23.50,0.04%,"2,626,156"
59,AIFF,-5.84%,-38.21%,81.25%,3.57%,-51.99%,64.15%,13.79%,18.56%,-,9.08M,0.07,4.35,-8.61%,"628,405"
60,AIG,-0.14%,6.81%,18.05%,13.77%,8.41%,15.27%,1.66%,2.30%,1.91,4.71M,0.74,83.92,-0.33%,"3,469,672"
61,AIOT,8.58%,-15.42%,-2.82%,25.00%,32.76%,-6.91%,5.51%,6.65%,1.14,2.20M,1.12,6.20,0.00%,"2,452,942"
62,AISP,8.45%,-1.45%,12.56%,91.53%,-45.21%,-24.12%,11.49%,12.10%,1.50,2.03M,1.21,4.75,4.86%,"2,466,761"
63,AIV,-2.40%,-4.37%,13.95%,-0.97%,17.16%,0.66%,1.78%,2.27%,2.00,1.17M,0.61,8.54,-1.73%,"720,152"
64,AJG,2.34%,2.70%,20.88%,22.21%,34.78%,18.85%,2.07%,2.10%,2.14,1.80M,0.79,337.36,-0.09%,"1,426,982"
65,AKAM,-0.26%,5.41%,-13.46%,-17.75%,-25.01%,-14.43%,1.73%,2.96%,2.04,2.62M,0.80,81.85,-1.11%,"2,086,165"
66,AKR,0.14%,-7.67%,-11.10%,-6.16%,24.69%,-11.80%,2.00%,2.38%,2.00,1.11M,0.76,21.31,-0.84%,"846,775"
67,AKRO,3.93%,-8.79%,59.30%,61.11%,74.40%,62.62%,4.08%,4.65%,1.00,1.34M,0.65,45.24,0.35%,"874,613"
68,AL,5.07%,3.03%,3.06%,6.79%,3.93%,1.45%,2.94%,3.22%,1.86,681.64K,0.96,48.91,-1.19%,"656,360"
69,ALAB,4.79%,-14.70%,-42.38%,42.92%,12.53%,-45.50%,5.09%,7.67%,1.40,5.13M,0.32,72.19,-2.16%,"1,644,231"
70,ALB,-1.06%,-4.15%,-12.65%,-9.72%,-37.79%,-9.77%,3.03%,4.80%,2.45,2.55M,0.59,77.67,0.15%,"1,492,345"
71,ALC,2.08%,3.92%,10.24%,-4.80%,10.59%,9.32%,0.96%,1.58%,1.52,1.34M,0.76,92.80,0.49%,"1,014,997"
